,Job_name,Company_name,Company_location,Experience_required,Skills,Job_apply_url
0,Python Developers,Ideal Crew Technology,"Mumbai, Pune",2-4 Years,"FastAPI, Version Control, Orm, Python Developers, Sql, Nosql, MongoDB, Git, Flask, FastAPI ",https://www.foundit.in/job/python-developers-ideal-crew-technology-mumbai-pune-25828983?searchId=3802b090-27c8-458c-811e-95abc503effd
1,Cyber Security Analyst/Engineer,HNM Solutions,Remote,Not Mentioned,"Cyber Security Analyst Cyber Security, Firewall, Vpn, Ids, Python, Java, Ruby ",https://www.foundit.in/job/cyber-security-analyst-engineer-hnm-solutions-remote-25829704?searchId=efd25bfd-8bd7-4916-8bd8-b10d0fe0b11a
2,AWS Devops,LTIMindtree Limited,"Kolkata, Mumbai",7-12 Years,".Net API AWS, Python, Bash ",https://www.foundit.in/job/aws-devops-ltimindtree-limited-kolkata-25331028?searchId=efd25bfd-8bd7-4916-8bd8-b10d0fe0b11a
3,Software Engineer,Company name confidential,Bengluru,Not Mentioned,"Java, Python ",https://www.foundit.in/job/software-engineer-bengaluru-bangalore-mumbai-26043529?searchId=efd25bfd-8bd7-4916-8bd8-b10d0fe0b11a
4,Python Developer - Contract Job,Saaragh Solutions Private Limited,Bengluru,Not Mentioned,"Python, Python Developers, Python Django, Python Developer, Javascript, HTML, CSS ",https://www.foundit.in/job/python-developer-contract-job-saaragh-solutions-private-limited-bengaluru-bangalore-25593916?searchId=efd25bfd-8bd7-4916-8bd8-b10d0fe0b11a
5,Backend Software Engineer (WFH),Uplers,"Mumbai, India",8-10 Years,"Java, Django, Javascript, Python, React Js ",Not Mentioned
6,Binance Accelerator Program - QA (Risk),Binance,"Remote, India",0-2 Years,"Java, MySQL, Kafka, Python, Redis ",https://www.foundit.in/job/binance-accelerator-program-qa-risk-binance-remote-25937715?searchId=efd25bfd-8bd7-4916-8bd8-b10d0fe0b11a
7,Senior Full Stack Engineer,Uplers,"Mumbai, India",4-6 Years,"Cypress, Next Js Docker, Node Js, PostgreSQL, Kubernetes, Python, React Js, AWS ",Not Mentioned
8,Operations Engineer,Newfold Digital,"Remote, India",0-2 Years,"graphite, Influx, Graylog Linux, Apache, Varnish, Tomcat, Golang, Grafana, Elk, Nginx, Memcached, Prometheus, Redis, MySQL, Python, Perl, Git, PostgreSQL ",https://www.foundit.in/job/operations-engineer-newfold-digital-remote-25909859?searchId=efd25bfd-8bd7-4916-8bd8-b10d0fe0b11a
9,Senior System Engineer,Uplers,"Thane, India",0-5 Years,"API Integrations, Infrastructure Automation, AWS Boto3, REST protocol, atlassian, Node.js, Jira, Jenkins, Lambda, Gcp, Bamboo, Azure, Python, AWS ",Not Mentioned
10,ML Developer- WFH,Uplers,"Mumbai, India",4-6 Years,"ChatGPT, llm prompt engineering, snowflake,  Complex SQL Queries, A/B Test Design, ETL pipeline Machine Learning, Natural Language Processing, Spark, Python ",https://www.foundit.in/job/ml-developer-wfh-uplers-mumbai-25904587?searchId=efd25bfd-8bd7-4916-8bd8-b10d0fe0b11a
11,"AI/ML Developer - (Onsite, Sweden)",Uplers,"Thane, India",5-7 Years,"Problem Solving Attitude, CI/CD Machine Learning, Artificial Intelligence, Microservices, Docker, Azure, Python, Sql, AWS ",Not Mentioned
12,Test Engineer Level 4: (Onsite - Sweden),Uplers,"Mumbai, India",5-7 Years,"Problem Solving Attitude, HIL C, Capl, C++, Python, Sql ",Not Mentioned
13,Associate Technical Consultant - DevOps,Salesforce,"Mumbai, India",3-5 Years,"Salesforce, open-source technology Github, cloud security, Devops, Docker, Gitlab, Ruby, Devops Tools, Python, Kubernetes, Azure DevOps ",https://www.foundit.in/job/associate-technical-consultant-devops-salesforce-mumbai-25905166?searchId=efd25bfd-8bd7-4916-8bd8-b10d0fe0b11a
14,Python Developer(Automation),Rackspace Technology,"Remote, India",5-7 Years,"Problem Solving, communication, inclusiveness, system tools python, automation, Os, Tcp/ip, Network, Dns ",Not Mentioned
