,job_name,company_name,company_location,experience_required,job_description,job_apply_url
0,Hiring For Data Scientist,RADHIKA  ENTERPRISES,"Oman+12Qatar, Patna, Bhubaneswar, Rourkela, Cuttack, Solapur, Raipur, United Arab Emirates, Pune, Ranchi, Mumbai City, Kolhapur",0 to 4 Yrs,Regular99 Positions,Not Mentioned
1,Hiring For Data Scientist,RADHIKA  ENTERPRISES,"Oman+12Qatar, Guwahati, Jaipur, Dehradun, Jodhpur, United Arab Emirates, Navi Mumbai, Kolkata, Thane, Udaipur, Pune, Mumbai City",0 to 4 Yrs,Regular99 Positions,Not Mentioned
2,Python-Django Developer,Securden,Chennai+1Other Tamil Nadu,2 to 8 Yrs,Regular,Not Mentioned
3,Mega Walk-In Drive on 3rd Feb 2024 | Exciting Opportuni ...,OptiSol Business Solutions,Chennai+1Other Tamil Nadu,1 to 12 Yrs,Regular,Not Mentioned
4,Python Lead Developer,Acme Services,Other Maharashtra,5 to 9 Yrs,Regular,Not Mentioned
5,Machine Learning Engineer,Talentfil,Chennai+1Other Tamil Nadu,5 to 9 Yrs,Regular,Not Mentioned
6,"Snowflake Data Engineer (2.5 + years) - Python, Airflow ...",GetOnData Solutions,All India,3 to 7 Yrs,Regular,Not Mentioned
7,Python Developer - Python & Data Science,HyrEzy Talent Solutions LLP,All India,3 to 8 Yrs,Regular,Not Mentioned
8,Principal Engineer - data engineer,NielsenIQ,Chennai+1Other Tamil Nadu,6 to 10 Yrs,Regular,Not Mentioned
9,Interesting  Opportunity M2P Fintech - Data Engineer .. ...,M2P Fintech,Chennai+1Other Tamil Nadu,1 to 4 Yrs,Regular,Not Mentioned
10,Senior AWS Data Engineer,PamTen Inc,Chennai+1Other Tamil Nadu,5 to 10 Yrs,Regular,Not Mentioned
11,Data Scientist,KPIT Technologies GmbH,Chennai+1Other Tamil Nadu,4 to 5 Yrs,Regular,Not Mentioned
12,Data Engineer HTHD,Ford Motor Company,Chennai+1Other Tamil Nadu,2 to 5 Yrs,Regular,Not Mentioned
13,Data Scientist,Credo Health,Chennai+1Other Tamil Nadu,3 Yrs,Regular,Not Mentioned
14,Python Engineer,Central Business Solutions Inc.,All India,3 to 5 Yrs,Regular,Not Mentioned
15,Python Developer - Django/Design Patterns,HNM SOLUTIONS,Noida+1Other Uttar Pradesh,4 to 8 Yrs,Regular,Not Mentioned
16,Python Developer 2-4 Years,ConsoleCoder,Other Maharashtra+1Pune,2 to 4 Yrs,Regular,Not Mentioned
17,Solutions Developer,Ankyah Infinity Pvt. Ltd.,Chennai+1Other Tamil Nadu,2 to 6 Yrs,Regular,Not Mentioned
18,Python Full stack Lead Developer,Lucidspire,Other Karnataka,8 to 15 Yrs,Regular,Not Mentioned
